Title, Cycle_0, Cycle_1, Cycle_2, Cycle_3, Cycle_4, Cycle_5, Cycle_6, Cycle_7, Cycle_8, Cycle_9, Cycle_10, Cycle_11, Cycle_12, Cycle_13, Cycle_14, Cycle_15, Cycle_16, Cycle_17, Cycle_18, Cycle_19, Cycle_20, Cycle_21, Cycle_22, Cycle_23, Cycle_24, Cycle_25, Cycle_26, Cycle_27, Cycle_28, Cycle_29, Cycle_30, Cycle_31, Cycle_32, Cycle_33, Cycle_34, Cycle_35, Cycle_36, Cycle_37, Cycle_38, Cycle_39, Cycle_40, Cycle_41, Cycle_42, Cycle_43, Cycle_44, Cycle_45
SmalestDev,-5721,-4398,-3031,-2079,-1445,-1016,-705,-514,-414,-368,-371,-360,-380,-338,-441,-371,-369,-390,-493,-628,-688,-815,-965,-1102,-1210,-1366,-1420,-1577,-1797,-1996,-2183,-2294,-2382,-2411,-2409,-2421,-2591,-2712,-2901,-3044,-3059,-3089,-3237,-3273,-3271,-3301
LargestDev,10662,10311,9277,8449,7542,6582,5394,4253,3302,2753,2399,2188,2060,1941,1842,1770,1699,1618,1538,1451,1334,1208,1042,842,630,529,514,495,501,498,505,509,518,566,662,816,932,1180,1517,1800,2162,2467,2666,2915,3158,3395
LWeightFactor,1.000,0.769,0.530,0.363,0.253,0.178,0.123,0.090,0.072,0.064,0.065,0.063,0.066,0.059,0.077,0.065,0.064,0.068,0.086,0.110,0.120,0.142,0.169,0.193,0.212,0.239,0.248,0.276,0.314,0.349,0.382,0.401,0.416,0.421,0.421,0.423,0.453,0.474,0.507,0.532,0.535,0.540,0.566,0.572,0.572,0.577
HWeightFactor,1.000,0.967,0.870,0.792,0.707,0.617,0.506,0.399,0.310,0.258,0.225,0.205,0.193,0.182,0.173,0.166,0.159,0.152,0.144,0.136,0.125,0.113,0.098,0.079,0.059,0.050,0.048,0.046,0.047,0.047,0.047,0.048,0.049,0.053,0.062,0.077,0.087,0.111,0.142,0.169,0.203,0.231,0.250,0.273,0.296,0.318
