,j,i,h,g,f,e,d,c,b,a,A,B,C,D,E,F,G,H,I,J
j,20,19,17,14,10,5,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14
i,19,20,19,17,14,10,5,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13
h,17,19,20,19,17,14,10,5,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12
g,14,17,19,20,19,17,14,10,5,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11
f,10,14,17,19,20,19,17,14,10,5,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
e,5,10,14,17,19,20,19,17,14,10,5,-1,-2,-3,-4,-5,-6,-7,-8,-9
d,-1,5,10,14,17,19,20,19,17,14,10,5,-1,-2,-3,-4,-5,-6,-7,-8
c,-2,-1,5,10,14,17,19,20,19,17,14,10,5,-1,-2,-3,-4,-5,-6,-7
b,-3,-2,-1,5,10,14,17,19,20,19,17,14,10,5,-1,-2,-3,-4,-5,-6
a,-4,-3,-2,-1,5,10,14,17,19,20,19,17,14,10,5,-1,-2,-3,-4,-5
A,-5,-4,-3,-2,-1,5,10,14,17,19,20,19,17,14,10,5,-1,-2,-3,-4
B,-6,-5,-4,-3,-2,-1,5,10,14,17,19,20,19,17,14,10,5,-1,-2,-3
C,-7,-6,-5,-4,-3,-2,-1,5,10,14,17,19,20,19,17,14,10,5,-1,-2
D,-8,-7,-6,-5,-4,-3,-2,-1,5,10,14,17,19,20,19,17,14,10,5,-1
E,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,10,14,17,19,20,19,17,14,10,5
F,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,10,14,17,19,20,19,17,14,10
G,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,10,14,17,19,20,19,17,14
H,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,10,14,17,19,20,19,17
I,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,10,14,17,19,20,19
J,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,5,10,14,17,19,20
